Date and Time,Card number,Card user name,CardInfo1,CardInfo2,Event message,End date,Event info #1
2025-07-06T08:06:49.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-07-06T10:25:42.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-08-10T08:18:43.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-08-10T08:31:55.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-08-10T10:49:27.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-08-17T08:11:39.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-08-17T10:14:43.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-08-17T08:13:00.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-08-24T08:42:58.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-08-24T11:36:06.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-08-24T11:51:07.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-08-24T11:52:35.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Club Room Door
2025-08-24T14:04:22.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-08-24T08:44:20.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-08-31T08:25:21.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-08-31T08:27:09.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-08-31T10:24:03.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-09-07T08:23:56.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-09-07T10:08:59.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-09-07T08:53:21.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-09-14T08:14:03.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-09-14T08:15:46.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-09-14T12:25:54.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-09-20T10:12:15.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-09-20T10:14:48.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-09-20T10:15:55.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Club Room Door
2025-09-20T14:22:15.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-09-21T08:15:55.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-09-21T08:18:47.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-09-21T11:01:13.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
2025-09-28T08:13:07.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Entry
2025-09-28T08:16:54.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Range 5
2025-09-28T08:41:42.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Club Room Door
2025-09-28T13:08:31.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Club Room Door
2025-09-28T14:16:29.0000000,0206:15588,4179424 ISSF,Paul Grimstrup,12345,Access granted,2026-08-01T00:00:00.0000000,Vehicle Gate Exit
